first_name,last_name,employee_id,joining_date,designation,middle_name,email,phone,alternate_phone,date_of_birth,gender,blood_group,employment_type,department,address,city,state,postal_code,aadhar_number,pan_number,salary,bank_account_number,bank_name,bank_ifsc,emergency_contact_name,emergency_contact_phone,experience_years
Amit,Sharma,EMP0001,01-01-2015,TEACHER,,amit.sharma@school.edu,9000000000,,,M,,,Mathematics,,,,,,,,,,,,,
Priya,Verma,EMP0002,07-02-2015,HEAD_TEACHER,,priya.verma@school.edu,9000000001,,,F,,,Science,,,,,,,,,,,,,
Rakesh,Singh,EMP0003,16-03-2015,ACCOUNTANT,,rakesh.singh@school.edu,9000000002,,,M,,,English,,,,,,,,,,,,,
Ananya,Khan,EMP0004,22-04-2015,LIBRARIAN,,ananya.khan@school.edu,9000000003,,,F,,,Finance,,,,,,,,,,,,,
Sanjay,Gupta,EMP0005,29-05-2015,ADMIN,,sanjay.gupta@school.edu,9000000004,,,M,,,Library,,,,,,,,,,,,,
Nisha,Patel,EMP0006,05-07-2015,TEACHER,,nisha.patel@school.edu,9000000005,,,F,,,Administration,,,,,,,,,,,,,
Vikram,Rao,EMP0007,11-08-2015,HEAD_TEACHER,,vikram.rao@school.edu,9000000006,,,M,,,Computer,,,,,,,,,,,,,
Meera,Iyer,EMP0008,17-09-2015,ACCOUNTANT,,meera.iyer@school.edu,9000000007,,,F,,,Mathematics,,,,,,,,,,,,,
Karan,Mehta,EMP0009,24-10-2015,LIBRARIAN,,karan.mehta@school.edu,9000000008,,,M,,,Science,,,,,,,,,,,,,
Isha,Bose,EMP0010,30-11-2015,ADMIN,,isha.bose@school.edu,9000000009,,,F,,,English,,,,,,,,,,,,,
Amit,Sharma,EMP0011,06-01-2016,TEACHER,,amit.sharma@school.edu,9000000010,,,M,,,Finance,,,,,,,,,,,,,
Priya,Verma,EMP0012,12-02-2016,HEAD_TEACHER,,priya.verma@school.edu,9000000011,,,F,,,Library,,,,,,,,,,,,,
Rakesh,Singh,EMP0013,20-03-2016,ACCOUNTANT,,rakesh.singh@school.edu,9000000012,,,M,,,Administration,,,,,,,,,,,,,
Ananya,Khan,EMP0014,26-04-2016,LIBRARIAN,,ananya.khan@school.edu,9000000013,,,F,,,Computer,,,,,,,,,,,,,
Sanjay,Gupta,EMP0015,02-06-2016,ADMIN,,sanjay.gupta@school.edu,9000000014,,,M,,,Mathematics,,,,,,,,,,,,,
Nisha,Patel,EMP0016,09-07-2016,TEACHER,,nisha.patel@school.edu,9000000015,,,F,,,Science,,,,,,,,,,,,,
Vikram,Rao,EMP0017,15-08-2016,HEAD_TEACHER,,vikram.rao@school.edu,9000000016,,,M,,,English,,,,,,,,,,,,,
Meera,Iyer,EMP0018,21-09-2016,ACCOUNTANT,,meera.iyer@school.edu,9000000017,,,F,,,Finance,,,,,,,,,,,,,
Karan,Mehta,EMP0019,28-10-2016,LIBRARIAN,,karan.mehta@school.edu,9000000018,,,M,,,Library,,,,,,,,,,,,,
Isha,Bose,EMP0020,04-12-2016,ADMIN,,isha.bose@school.edu,9000000019,,,F,,,Administration,,,,,,,,,,,,,
Amit,Sharma,EMP0021,10-01-2017,TEACHER,,amit.sharma@school.edu,9000000020,,,M,,,Computer,,,,,,,,,,,,,
Priya,Verma,EMP0022,16-02-2017,HEAD_TEACHER,,priya.verma@school.edu,9000000021,,,F,,,Mathematics,,,,,,,,,,,,,
Rakesh,Singh,EMP0023,25-03-2017,ACCOUNTANT,,rakesh.singh@school.edu,9000000022,,,M,,,Science,,,,,,,,,,,,,
Ananya,Khan,EMP0024,01-05-2017,LIBRARIAN,,ananya.khan@school.edu,9000000023,,,F,,,English,,,,,,,,,,,,,
Sanjay,Gupta,EMP0025,07-06-2017,ADMIN,,sanjay.gupta@school.edu,9000000024,,,M,,,Finance,,,,,,,,,,,,,
Nisha,Patel,EMP0026,14-07-2017,TEACHER,,nisha.patel@school.edu,9000000025,,,F,,,Library,,,,,,,,,,,,,
Vikram,Rao,EMP0027,20-08-2017,HEAD_TEACHER,,vikram.rao@school.edu,9000000026,,,M,,,Administration,,,,,,,,,,,,,
Meera,Iyer,EMP0028,26-09-2017,ACCOUNTANT,,meera.iyer@school.edu,9000000027,,,F,,,Computer,,,,,,,,,,,,,
Karan,Mehta,EMP0029,02-11-2017,LIBRARIAN,,karan.mehta@school.edu,9000000028,,,M,,,Mathematics,,,,,,,,,,,,,
Isha,Bose,EMP0030,09-12-2017,ADMIN,,isha.bose@school.edu,9000000029,,,F,,,Science,,,,,,,,,,,,,
Amit,Sharma,EMP0031,15-01-2018,TEACHER,,amit.sharma@school.edu,9000000030,,,M,,,English,,,,,,,,,,,,,
Priya,Verma,EMP0032,21-02-2018,HEAD_TEACHER,,priya.verma@school.edu,9000000031,,,F,,,Finance,,,,,,,,,,,,,
Rakesh,Singh,EMP0033,30-03-2018,ACCOUNTANT,,rakesh.singh@school.edu,9000000032,,,M,,,Library,,,,,,,,,,,,,
Ananya,Khan,EMP0034,06-05-2018,LIBRARIAN,,ananya.khan@school.edu,9000000033,,,F,,,Administration,,,,,,,,,,,,,
Sanjay,Gupta,EMP0035,12-06-2018,ADMIN,,sanjay.gupta@school.edu,9000000034,,,M,,,Computer,,,,,,,,,,,,,
Nisha,Patel,EMP0036,19-07-2018,TEACHER,,nisha.patel@school.edu,9000000035,,,F,,,Mathematics,,,,,,,,,,,,,
Vikram,Rao,EMP0037,25-08-2018,HEAD_TEACHER,,vikram.rao@school.edu,9000000036,,,M,,,Science,,,,,,,,,,,,,
Meera,Iyer,EMP0038,01-10-2018,ACCOUNTANT,,meera.iyer@school.edu,9000000037,,,F,,,English,,,,,,,,,,,,,
Karan,Mehta,EMP0039,07-11-2018,LIBRARIAN,,karan.mehta@school.edu,9000000038,,,M,,,Finance,,,,,,,,,,,,,
Isha,Bose,EMP0040,14-12-2018,ADMIN,,isha.bose@school.edu,9000000039,,,F,,,Library,,,,,,,,,,,,,
Amit,Sharma,EMP0041,20-01-2019,TEACHER,,amit.sharma@school.edu,9000000040,,,M,,,Administration,,,,,,,,,,,,,
Priya,Verma,EMP0042,26-02-2019,HEAD_TEACHER,,priya.verma@school.edu,9000000041,,,F,,,Computer,,,,,,,,,,,,,
Rakesh,Singh,EMP0043,04-04-2019,ACCOUNTANT,,rakesh.singh@school.edu,9000000042,,,M,,,Mathematics,,,,,,,,,,,,,
Ananya,Khan,EMP0044,11-05-2019,LIBRARIAN,,ananya.khan@school.edu,9000000043,,,F,,,Science,,,,,,,,,,,,,
Sanjay,Gupta,EMP0045,17-06-2019,ADMIN,,sanjay.gupta@school.edu,9000000044,,,M,,,English,,,,,,,,,,,,,
Nisha,Patel,EMP0046,24-07-2019,TEACHER,,nisha.patel@school.edu,9000000045,,,F,,,Finance,,,,,,,,,,,,,
Vikram,Rao,EMP0047,30-08-2019,HEAD_TEACHER,,vikram.rao@school.edu,9000000046,,,M,,,Library,,,,,,,,,,,,,
Meera,Iyer,EMP0048,06-10-2019,ACCOUNTANT,,meera.iyer@school.edu,9000000047,,,F,,,Administration,,,,,,,,,,,,,
Karan,Mehta,EMP0049,12-11-2019,LIBRARIAN,,karan.mehta@school.edu,9000000048,,,M,,,Computer,,,,,,,,,,,,,
Isha,Bose,EMP0050,19-12-2019,ADMIN,,isha.bose@school.edu,9000000049,,,F,,,Mathematics,,,,,,,,,,,,,
Amit,Sharma,EMP0051,25-01-2020,TEACHER,,amit.sharma@school.edu,9000000050,,,M,,,Science,,,,,,,,,,,,,
Priya,Verma,EMP0052,02-03-2020,HEAD_TEACHER,,priya.verma@school.edu,9000000051,,,F,,,English,,,,,,,,,,,,,
Rakesh,Singh,EMP0053,08-04-2020,ACCOUNTANT,,rakesh.singh@school.edu,9000000052,,,M,,,Finance,,,,,,,,,,,,,
Ananya,Khan,EMP0054,15-05-2020,LIBRARIAN,,ananya.khan@school.edu,9000000053,,,F,,,Library,,,,,,,,,,,,,
Sanjay,Gupta,EMP0055,21-06-2020,ADMIN,,sanjay.gupta@school.edu,9000000054,,,M,,,Administration,,,,,,,,,,,,,
Nisha,Patel,EMP0056,28-07-2020,TEACHER,,nisha.patel@school.edu,9000000055,,,F,,,Computer,,,,,,,,,,,,,
Vikram,Rao,EMP0057,03-09-2020,HEAD_TEACHER,,vikram.rao@school.edu,9000000056,,,M,,,Mathematics,,,,,,,,,,,,,
Meera,Iyer,EMP0058,10-10-2020,ACCOUNTANT,,meera.iyer@school.edu,9000000057,,,F,,,Science,,,,,,,,,,,,,
Karan,Mehta,EMP0059,16-11-2020,LIBRARIAN,,karan.mehta@school.edu,9000000058,,,M,,,English,,,,,,,,,,,,,
Isha,Bose,EMP0060,23-12-2020,ADMIN,,isha.bose@school.edu,9000000059,,,F,,,Finance,,,,,,,,,,,,,
Amit,Sharma,EMP0061,29-01-2021,TEACHER,,amit.sharma@school.edu,9000000060,,,M,,,Library,,,,,,,,,,,,,
Priya,Verma,EMP0062,07-03-2021,HEAD_TEACHER,,priya.verma@school.edu,9000000061,,,F,,,Administration,,,,,,,,,,,,,
Rakesh,Singh,EMP0063,13-04-2021,ACCOUNTANT,,rakesh.singh@school.edu,9000000062,,,M,,,Computer,,,,,,,,,,,,,
Ananya,Khan,EMP0064,20-05-2021,LIBRARIAN,,ananya.khan@school.edu,9000000063,,,F,,,Mathematics,,,,,,,,,,,,,
Sanjay,Gupta,EMP0065,26-06-2021,ADMIN,,sanjay.gupta@school.edu,9000000064,,,M,,,Science,,,,,,,,,,,,,
Nisha,Patel,EMP0066,02-08-2021,TEACHER,,nisha.patel@school.edu,9000000065,,,F,,,English,,,,,,,,,,,,,
Vikram,Rao,EMP0067,08-09-2021,HEAD_TEACHER,,vikram.rao@school.edu,9000000066,,,M,,,Finance,,,,,,,,,,,,,
Meera,Iyer,EMP0068,15-10-2021,ACCOUNTANT,,meera.iyer@school.edu,9000000067,,,F,,,Library,,,,,,,,,,,,,
Karan,Mehta,EMP0069,21-11-2021,LIBRARIAN,,karan.mehta@school.edu,9000000068,,,M,,,Administration,,,,,,,,,,,,,
Isha,Bose,EMP0070,28-12-2021,ADMIN,,isha.bose@school.edu,9000000069,,,F,,,Computer,,,,,,,,,,,,,
Amit,Sharma,EMP0071,03-02-2022,TEACHER,,amit.sharma@school.edu,9000000070,,,M,,,Mathematics,,,,,,,,,,,,,
Priya,Verma,EMP0072,12-03-2022,HEAD_TEACHER,,priya.verma@school.edu,9000000071,,,F,,,Science,,,,,,,,,,,,,
Rakesh,Singh,EMP0073,18-04-2022,ACCOUNTANT,,rakesh.singh@school.edu,9000000072,,,M,,,English,,,,,,,,,,,,,
Ananya,Khan,EMP0074,25-05-2022,LIBRARIAN,,ananya.khan@school.edu,9000000073,,,F,,,Finance,,,,,,,,,,,,,
Sanjay,Gupta,EMP0075,01-07-2022,ADMIN,,sanjay.gupta@school.edu,9000000074,,,M,,,Library,,,,,,,,,,,,,
Nisha,Patel,EMP0076,07-08-2022,TEACHER,,nisha.patel@school.edu,9000000075,,,F,,,Administration,,,,,,,,,,,,,
Vikram,Rao,EMP0077,13-09-2022,HEAD_TEACHER,,vikram.rao@school.edu,9000000076,,,M,,,Computer,,,,,,,,,,,,,
Meera,Iyer,EMP0078,20-10-2022,ACCOUNTANT,,meera.iyer@school.edu,9000000077,,,F,,,Mathematics,,,,,,,,,,,,,
Karan,Mehta,EMP0079,26-11-2022,LIBRARIAN,,karan.mehta@school.edu,9000000078,,,M,,,Science,,,,,,,,,,,,,
Isha,Bose,EMP0080,02-01-2023,ADMIN,,isha.bose@school.edu,9000000079,,,F,,,English,,,,,,,,,,,,,
Amit,Sharma,EMP0081,08-02-2023,TEACHER,,amit.sharma@school.edu,9000000080,,,M,,,Finance,,,,,,,,,,,,,
Priya,Verma,EMP0082,17-03-2023,HEAD_TEACHER,,priya.verma@school.edu,9000000081,,,F,,,Library,,,,,,,,,,,,,
Rakesh,Singh,EMP0083,23-04-2023,ACCOUNTANT,,rakesh.singh@school.edu,9000000082,,,M,,,Administration,,,,,,,,,,,,,
Ananya,Khan,EMP0084,30-05-2023,LIBRARIAN,,ananya.khan@school.edu,9000000083,,,F,,,Computer,,,,,,,,,,,,,
Sanjay,Gupta,EMP0085,06-07-2023,ADMIN,,sanjay.gupta@school.edu,9000000084,,,M,,,Mathematics,,,,,,,,,,,,,
Nisha,Patel,EMP0086,12-08-2023,TEACHER,,nisha.patel@school.edu,9000000085,,,F,,,Science,,,,,,,,,,,,,
Vikram,Rao,EMP0087,18-09-2023,HEAD_TEACHER,,vikram.rao@school.edu,9000000086,,,M,,,English,,,,,,,,,,,,,
Meera,Iyer,EMP0088,25-10-2023,ACCOUNTANT,,meera.iyer@school.edu,9000000087,,,F,,,Finance,,,,,,,,,,,,,
Karan,Mehta,EMP0089,01-12-2023,LIBRARIAN,,karan.mehta@school.edu,9000000088,,,M,,,Library,,,,,,,,,,,,,
Isha,Bose,EMP0090,07-01-2024,ADMIN,,isha.bose@school.edu,9000000089,,,F,,,Administration,,,,,,,,,,,,,
Amit,Sharma,EMP0091,13-02-2024,TEACHER,,amit.sharma@school.edu,9000000090,,,M,,,Computer,,,,,,,,,,,,,
Priya,Verma,EMP0092,21-03-2024,HEAD_TEACHER,,priya.verma@school.edu,9000000091,,,F,,,Mathematics,,,,,,,,,,,,,
Rakesh,Singh,EMP0093,27-04-2024,ACCOUNTANT,,rakesh.singh@school.edu,9000000092,,,M,,,Science,,,,,,,,,,,,,
Ananya,Khan,EMP0094,03-06-2024,LIBRARIAN,,ananya.khan@school.edu,9000000093,,,F,,,English,,,,,,,,,,,,,
Sanjay,Gupta,EMP0095,10-07-2024,ADMIN,,sanjay.gupta@school.edu,9000000094,,,M,,,Finance,,,,,,,,,,,,,
Nisha,Patel,EMP0096,16-08-2024,TEACHER,,nisha.patel@school.edu,9000000095,,,F,,,Library,,,,,,,,,,,,,
Vikram,Rao,EMP0097,22-09-2024,HEAD_TEACHER,,vikram.rao@school.edu,9000000096,,,M,,,Administration,,,,,,,,,,,,,
Meera,Iyer,EMP0098,29-10-2024,ACCOUNTANT,,meera.iyer@school.edu,9000000097,,,F,,,Computer,,,,,,,,,,,,,
Karan,Mehta,EMP0099,05-12-2024,LIBRARIAN,,karan.mehta@school.edu,9000000098,,,M,,,Mathematics,,,,,,,,,,,,,
Isha,Bose,EMP0100,11-01-2025,ADMIN,,isha.bose@school.edu,9000000099,,,F,,,Science,,,,,,,,,,,,,
Amit,Sharma,EMP0101,17-02-2025,TEACHER,,amit.sharma@school.edu,9000000100,,,M,,,English,,,,,,,,,,,,,
Priya,Verma,EMP0102,26-03-2025,HEAD_TEACHER,,priya.verma@school.edu,9000000101,,,F,,,Finance,,,,,,,,,,,,,
Rakesh,Singh,EMP0103,02-05-2025,ACCOUNTANT,,rakesh.singh@school.edu,9000000102,,,M,,,Library,,,,,,,,,,,,,
Ananya,Khan,EMP0104,08-06-2025,LIBRARIAN,,ananya.khan@school.edu,9000000103,,,F,,,Administration,,,,,,,,,,,,,
Sanjay,Gupta,EMP0105,15-07-2025,ADMIN,,sanjay.gupta@school.edu,9000000104,,,M,,,Computer,,,,,,,,,,,,,
Nisha,Patel,EMP0106,21-08-2025,TEACHER,,nisha.patel@school.edu,9000000105,,,F,,,Mathematics,,,,,,,,,,,,,
Vikram,Rao,EMP0107,27-09-2025,HEAD_TEACHER,,vikram.rao@school.edu,9000000106,,,M,,,Science,,,,,,,,,,,,,
Meera,Iyer,EMP0108,03-11-2025,ACCOUNTANT,,meera.iyer@school.edu,9000000107,,,F,,,English,,,,,,,,,,,,,
Karan,Mehta,EMP0109,10-12-2025,LIBRARIAN,,karan.mehta@school.edu,9000000108,,,M,,,Finance,,,,,,,,,,,,,
Isha,Bose,EMP0110,03-02-2015,ADMIN,,isha.bose@school.edu,9000000109,,,F,,,Library,,,,,,,,,,,,,
Amit,Sharma,EMP0111,12-03-2015,TEACHER,,amit.sharma@school.edu,9000000110,,,M,,,Administration,,,,,,,,,,,,,
Priya,Verma,EMP0112,18-04-2015,HEAD_TEACHER,,priya.verma@school.edu,9000000111,,,F,,,Computer,,,,,,,,,,,,,
Rakesh,Singh,EMP0113,25-05-2015,ACCOUNTANT,,rakesh.singh@school.edu,9000000112,,,M,,,Mathematics,,,,,,,,,,,,,
Ananya,Khan,EMP0114,01-07-2015,LIBRARIAN,,ananya.khan@school.edu,9000000113,,,F,,,Science,,,,,,,,,,,,,
Sanjay,Gupta,EMP0115,07-08-2015,ADMIN,,sanjay.gupta@school.edu,9000000114,,,M,,,English,,,,,,,,,,,,,
Nisha,Patel,EMP0116,13-09-2015,TEACHER,,nisha.patel@school.edu,9000000115,,,F,,,Finance,,,,,,,,,,,,,
Vikram,Rao,EMP0117,20-10-2015,HEAD_TEACHER,,vikram.rao@school.edu,9000000116,,,M,,,Library,,,,,,,,,,,,,
Meera,Iyer,EMP0118,26-11-2015,ACCOUNTANT,,meera.iyer@school.edu,9000000117,,,F,,,Administration,,,,,,,,,,,,,
Karan,Mehta,EMP0119,02-01-2016,LIBRARIAN,,karan.mehta@school.edu,9000000118,,,M,,,Computer,,,,,,,,,,,,,
Isha,Bose,EMP0120,08-02-2016,ADMIN,,isha.bose@school.edu,9000000119,,,F,,,Mathematics,,,,,,,,,,,,,
Amit,Sharma,EMP0121,16-03-2016,TEACHER,,amit.sharma@school.edu,9000000120,,,M,,,Science,,,,,,,,,,,,,
Priya,Verma,EMP0122,22-04-2016,HEAD_TEACHER,,priya.verma@school.edu,9000000121,,,F,,,English,,,,,,,,,,,,,
Rakesh,Singh,EMP0123,29-05-2016,ACCOUNTANT,,rakesh.singh@school.edu,9000000122,,,M,,,Finance,,,,,,,,,,,,,
Ananya,Khan,EMP0124,05-07-2016,LIBRARIAN,,ananya.khan@school.edu,9000000123,,,F,,,Library,,,,,,,,,,,,,
Sanjay,Gupta,EMP0125,11-08-2016,ADMIN,,sanjay.gupta@school.edu,9000000124,,,M,,,Administration,,,,,,,,,,,,,
Nisha,Patel,EMP0126,17-09-2016,TEACHER,,nisha.patel@school.edu,9000000125,,,F,,,Computer,,,,,,,,,,,,,
Vikram,Rao,EMP0127,24-10-2016,HEAD_TEACHER,,vikram.rao@school.edu,9000000126,,,M,,,Mathematics,,,,,,,,,,,,,
Meera,Iyer,EMP0128,30-11-2016,ACCOUNTANT,,meera.iyer@school.edu,9000000127,,,F,,,Science,,,,,,,,,,,,,
Karan,Mehta,EMP0129,06-01-2017,LIBRARIAN,,karan.mehta@school.edu,9000000128,,,M,,,English,,,,,,,,,,,,,
Isha,Bose,EMP0130,12-02-2017,ADMIN,,isha.bose@school.edu,9000000129,,,F,,,Finance,,,,,,,,,,,,,
Amit,Sharma,EMP0131,21-03-2017,TEACHER,,amit.sharma@school.edu,9000000130,,,M,,,Library,,,,,,,,,,,,,
Priya,Verma,EMP0132,27-04-2017,HEAD_TEACHER,,priya.verma@school.edu,9000000131,,,F,,,Administration,,,,,,,,,,,,,
Rakesh,Singh,EMP0133,03-06-2017,ACCOUNTANT,,rakesh.singh@school.edu,9000000132,,,M,,,Computer,,,,,,,,,,,,,
Ananya,Khan,EMP0134,10-07-2017,LIBRARIAN,,ananya.khan@school.edu,9000000133,,,F,,,Mathematics,,,,,,,,,,,,,
Sanjay,Gupta,EMP0135,16-08-2017,ADMIN,,sanjay.gupta@school.edu,9000000134,,,M,,,Science,,,,,,,,,,,,,
Nisha,Patel,EMP0136,22-09-2017,TEACHER,,nisha.patel@school.edu,9000000135,,,F,,,English,,,,,,,,,,,,,
Vikram,Rao,EMP0137,29-10-2017,HEAD_TEACHER,,vikram.rao@school.edu,9000000136,,,M,,,Finance,,,,,,,,,,,,,
Meera,Iyer,EMP0138,05-12-2017,ACCOUNTANT,,meera.iyer@school.edu,9000000137,,,F,,,Library,,,,,,,,,,,,,
Karan,Mehta,EMP0139,11-01-2018,LIBRARIAN,,karan.mehta@school.edu,9000000138,,,M,,,Administration,,,,,,,,,,,,,
Isha,Bose,EMP0140,17-02-2018,ADMIN,,isha.bose@school.edu,9000000139,,,F,,,Computer,,,,,,,,,,,,,
Amit,Sharma,EMP0141,26-03-2018,TEACHER,,amit.sharma@school.edu,9000000140,,,M,,,Mathematics,,,,,,,,,,,,,
