email,password,first_name,last_name,role,admission_number,employee_id
mahesh.thakur21@parent.nucleiq.in,Parent@123,Mahesh,Thakur,PARENT,STU0001,
vihaan.saxena4@parent.nucleiq.in,Parent@123,Vihaan,Saxena,PARENT,STU0002,
arnav.ghosh64@parent.nucleiq.in,Parent@123,Arnav,Ghosh,PARENT,STU0003,
gopal.mehta27@parent.nucleiq.in,Parent@123,Gopal,Mehta,PARENT,STU0004,
prateek.pillai40@parent.nucleiq.in,Parent@123,Prateek,Pillai,PARENT,STU0005,
prateek.dhawan52@parent.nucleiq.in,Parent@123,Prateek,Dhawan,PARENT,STU0006,
kunal.das81@parent.nucleiq.in,Parent@123,Kunal,Das,PARENT,STU0007,
pavan.agarwal48@parent.nucleiq.in,Parent@123,Pavan,Agarwal,PARENT,STU0008,
varun.bhatia34@parent.nucleiq.in,Parent@123,Varun,Bhatia,PARENT,STU0009,
varun.banerjee80@parent.nucleiq.in,Parent@123,Varun,Banerjee,PARENT,STU0010,
harsh.sharma42@parent.nucleiq.in,Parent@123,Harsh,Sharma,PARENT,STU0011,
om.ahuja4@parent.nucleiq.in,Parent@123,Om,Ahuja,PARENT,STU0012,
aditya.yadav4@parent.nucleiq.in,Parent@123,Aditya,Yadav,PARENT,STU0013,
karthik.rao43@parent.nucleiq.in,Parent@123,Karthik,Rao,PARENT,STU0014,
suresh.kaur4@parent.nucleiq.in,Parent@123,Suresh,Kaur,PARENT,STU0015,
darsh.thakur61@parent.nucleiq.in,Parent@123,Darsh,Thakur,PARENT,STU0016,
raj.dhawan5@parent.nucleiq.in,Parent@123,Raj,Dhawan,PARENT,STU0017,
advik.shah95@parent.nucleiq.in,Parent@123,Advik,Shah,PARENT,STU0018,
akshay.agarwal19@parent.nucleiq.in,Parent@123,Akshay,Agarwal,PARENT,STU0019,
yash.arora53@parent.nucleiq.in,Parent@123,Yash,Arora,PARENT,STU0020,
sai.narayan6@parent.nucleiq.in,Parent@123,Sai,Narayan,PARENT,STU0021,
